Date,MITTX,FBGRX,FSCSX
28/02/14,0,-0.030635231,-0.036173633
31/03/14,-0.004980434,-0.019674671,-0.076730609
30/04/14,0.013585985,0.038084703,0.031616983
31/05/14,0.018342152,0.033795098,0.029772329
30/06/14,-0.018011777,-0.017670446,-0.012755102
31/07/14,0.031040564,0.0526158,0.016365202
31/08/14,-0.011973999,-0.067074907,-0.005932203
30/09/14,0.016620499,0.028850557,0.028132992
31/10/14,0.035762943,0.029673591,0.024875622
30/11/14,-0.052285432,-0.014121037,-0.062297735
31/12/14,-0.040249827,-0.007892429,-0.052631579
31/01/15,0.066160521,0.064525633,0.087431694
28/02/15,-0.010512038,-0.001383892,-0.018425461
31/03/15,0.002398903,-0.008592018,-0.013651877
30/04/15,0.014017094,0.023343584,0.003460208
31/05/15,-0.018880647,-0.010517689,-0.018965517
30/06/15,0.026460481,0.037410271,0.054481547
31/07/15,-0.057248075,-0.063206919,-0.053333333
31/08/15,-0.032315341,-0.085085227,-0.022887324
30/09/15,0.071926606,0.070485949,0.122522523
31/10/15,0.001369394,0.009862219,0.015248796
30/11/15,-0.068034188,-0.009478673,-0.040316206
31/12/15,-0.044754219,-0.082789619,-0.059308072
31/01/16,-0.016513057,-0.0213405,-0.027145359
29/02/16,0.055056619,0.062510095,0.079207921
31/03/16,0.014063657,-0.003344482,-0.014178482
30/04/16,0.018978102,0.025777913,0.051607445
31/05/16,-0.013968481,-0.030780669,-0.027353178
30/06/16,0.043588812,0.065664314,0.082712986
31/07/16,0.002088409,0.007774259,0.017570665
31/08/16,-0.007294199,0.003142857,0.015015015
30/09/16,-0.016445066,-0.027912276,0.00887574
31/10/16,0.026325151,0.006006446,-0.022727273
30/11/16,-0.031542461,-0.019076744,-0.03375844
31/12/16,0.026843236,0.048396675,0.061335404
31/01/17,0.042872081,0.038799207,0.030724214
28/02/17,-0.000668449,0.026717557,0.017033357
31/03/17,0.017725753,0.032926182,0.019539428
30/04/17,0.023989484,0.040102828,0.03559206
31/05/17,-0.007702182,-0.005931784,-0.015862525
30/06/17,0.016494179,0.034311288,0.0402955
31/07/17,0.002227171,0.018509615,0.021304067
31/08/17,0.015555556,-0.010856738,0.005689001
30/09/17,0.026883401,0.042949177,0.070395977
31/10/17,0.024961948,0.018645619,0.011156782
30/11/17,-0.045144045,-0.014486244,-0.037746806
31/12/17,0.055365474,0.085688241,0.090525045
31/01/18,-0.035366932,-0.022565071,-0.009961262
28/02/18,-0.021081577,-0.029206486,-0.035215204
31/03/18,0.003433208,0.014710762,-0.001158749
30/04/18,0.008398134,0.050141705,0.060904872
31/05/18,-0.000308452,0.024911771,0.009294697
30/06/18,0.046282012,0.010228884,0.031419285
31/07/18,0.017104099,0.058446115,0.040441176
31/08/18,0.004928965,-0.036370525,0.002019182
30/09/18,-0.068955568,-0.103499115,-0.084634761
31/10/18,0.027889681,-0.004385484,0.011557512
30/11/18,-0.192342478,-0.074991741,-0.114254625
31/12/18,0.083240015,0.08297619,0.077395577
31/01/19,0.034803584,0.047708036,0.066704675
28/02/19,0.023310023,0.026125275,0.030999466
31/03/19,0.044256427,0.049284254,-0.040435459
30/04/19,-0.052041134,-0.081465601,-0.051863857
31/05/19,0.051939513,0.071610439,0.055270655
30/06/19,0.0225,0.02019602,0.01511879
31/07/19,-0.014364303,-0.022222222,-0.005851064
31/08/19,0.00744186,-0.057066296,-0.003745318
30/09/19,0.004924592,0.04052205,0.020408163
31/10/19,0.035222052,0.056443455,0.055263158
30/11/19,-0.029881657,0.03150134,-0.011471322
31/12/19,-0.004269594,0.031746032,0.0580222
31/01/20,-0.083614089,-0.05802969,-0.051025274
29/02/20,-0.128008021,-0.112129895,-0.106030151
31/03/20,0.1245688,0.170395869,0.11410905
30/04/20,0.050443081,0.091544118,0.091826438
31/05/20,0.00486697,0.078814416,0.053142329
30/06/20,0.046173716,0.077973775,0.038174638
31/07/20,0.059876543,0.130548114,0.104395604
31/08/20,-0.032323821,-0.079608044,-0.049751244
30/09/20,-0.025579296,-0.030338877,-0.046314942
31/10/20,0.110253243,0.136347327,0.116554054
30/11/20,-0.004172462,0.02987054,0.025718608
31/12/20,-0.010335196,0.01226392,-0.021017699
31/01/21,0.031329382,0.023261449,0.028625235
28/02/21,0.041050903,-0.00461757,-0.000366166
31/03/21,0.057308097,0.056738432,0.049450549
30/04/21,0.015415216,-0.014576767,-0.006282723
31/05/21,0.005631734,0.066537209,0.057253249
30/06/21,0.03725347,0.005622791,0.031229236
31/07/21,0.021830986,0.043133287,0.028994845
31/08/21,-0.044337239,-0.111235898,-0.047276143
30/09/21,0.061538462,0.077139575,0.070325337
31/10/21,-0.023550725,0.00410601,-0.044212465
30/11/21,-0.033627087,-0.024853956,-0.036620623
31/12/21,-0.049196064,-0.114039865,-0.063021007
31/01/22,-0.037607269,-0.03811163,-0.062989324
28/02/22,0.02281668,0.024731595,0.026585644
31/03/22,-0.067692308,-0.141565326,-0.127266001
30/04/22,0.004675468,-0.048092989,-0.036032217
31/05/22,-0.067889406,-0.110280089,-0.074318382
30/06/22,0.055212922,0.140332819,0.091211401
31/07/22,-0.04787086,-0.040168497,-0.04788855
31/08/22,-0.085647471,-0.105564263,-0.109739369
30/09/22,0.078324808,0.036274424,0.069337442
31/10/22,0.063445004,0.051323243,0.045148895
30/11/22,-0.108168386,-0.095544475,-0.096047794
31/12/22,0.054391997,0.127778766,0.093035079
31/01/23,-0.044174326,-0.009224947,-0.022790698
28/02/23,0.027295285,0.069950661,0.086149453
31/03/23,0.024758454,0.000743771,0.002629273
30/04/23,-0.007955215,0.079375697,0.063811189
31/05/23,0.058806059,0.077050196,0.047658176
30/06/23,0.019074334,0.052486894,0.039607843
31/07/23,-0.018992568,-0.017250805,-0.007921539
31/08/23,-0.050785634,-0.066444156,-0.051711027
30/09/23,-0.013892994,-0.023900953,-0.015236568
31/10/23,0.084232614,0.115851591,0.153908795
30/11/23,-0.05114736,0.053249043,-0.023641496
