Date,Food ,Mines,Oil  ,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars ,Trans,Utils,Rtail,Finan,Other
1985-03-01,6.15,5.16,1.51,-0.22,-4.3,-2.37,3.09,-4.61,-3.34,-3.38,-6.16,-4.89,-3.44,6.1,-0.51,0.09,1.01
1985-04-01,-1.32,-2.32,3.55,-0.67,-1.21,0.78,-2.72,-0.96,-4.88,-4.32,-3.27,-4.23,-3.31,1.61,0.28,2.54,-0.44
1985-05-01,10.71,2.8,1.07,8.34,4.84,7.81,7.04,6.0,1.59,5.45,3.43,6.92,10.21,5.45,11.21,6.24,5.46
1985-06-01,3.44,-0.32,-0.91,1.91,2.01,1.52,1.88,0.86,-0.74,1.54,-0.93,1.15,2.32,3.63,1.34,2.98,3.3
1985-07-01,-2.28,8.82,-0.51,2.21,2.56,4.1,-0.83,2.94,7.83,2.63,4.78,0.94,3.6,-4.7,-5.33,-1.36,-0.67
1985-08-01,2.44,-1.4,1.53,1.43,-2.96,-1.09,-0.24,-2.7,-1.9,-1.96,-2.44,-0.71,-0.85,1.91,-0.39,-0.4,-0.84
1985-09-01,3.24,-8.85,-1.34,-2.79,-3.73,-3.48,-2.8,-4.48,-4.49,-3.15,-4.12,-2.06,-7.42,-5.35,-4.21,-4.44,-5.17
1985-10-01,4.25,-1.57,5.8,7.29,0.56,4.95,4.94,3.01,-4.37,3.64,3.14,1.87,0.95,6.32,7.65,7.67,3.53
1985-11-01,9.35,5.24,1.31,7.0,12.81,6.18,10.3,8.66,6.01,8.88,8.84,7.56,6.3,4.24,7.9,7.64,6.67
1985-12-01,3.85,-2.77,-2.51,4.03,7.3,6.73,3.99,4.87,2.74,5.1,7.04,5.26,2.18,4.85,3.99,4.98,5.88
1986-01-01,1.15,2.31,-6.89,4.99,0.37,1.8,1.25,2.44,2.73,2.3,0.27,4.51,2.85,3.78,1.37,3.52,0.02
1986-02-01,8.9,-3.16,0.55,9.98,11.58,12.13,9.17,12.13,5.3,7.3,5.28,11.34,8.92,6.57,7.44,8.67,8.25
1986-03-01,8.79,2.37,0.83,7.22,4.81,6.36,11.47,10.84,3.94,1.77,0.87,11.35,4.98,3.96,8.83,5.87,4.9
1986-04-01,0.54,-5.1,0.61,-1.04,-1.42,2.18,0.3,-1.89,-5.46,-1.35,2.52,-6.72,-3.2,-3.97,0.11,-3.29,1.26
1986-05-01,7.86,3.11,7.42,7.78,4.32,5.82,8.52,5.2,1.62,3.62,0.79,4.14,1.63,3.63,11.14,5.0,5.08
1986-06-01,6.16,-3.75,-1.9,4.5,-0.6,0.66,7.2,-0.48,-3.48,-2.49,-4.53,-0.31,-0.33,5.04,4.55,1.96,2.26
1986-07-01,-4.84,-2.36,-5.23,-8.6,-8.66,-7.33,-4.41,-9.21,-16.42,-7.93,-8.02,-8.72,-9.05,5.15,-9.51,-5.49,-6.92
1986-08-01,1.82,14.62,16.9,2.58,6.07,6.11,3.17,7.58,9.84,6.16,7.49,6.98,5.82,7.9,1.22,7.14,5.86
1986-09-01,-11.37,2.32,-1.01,-8.74,-8.74,-4.94,-12.89,-6.99,4.83,-3.8,-6.93,-7.86,-2.57,-9.09,-8.6,-10.35,-8.38
1986-10-01,9.92,-0.25,1.8,7.34,7.34,8.17,8.98,6.75,3.78,3.54,0.19,6.69,3.81,5.25,7.92,3.43,6.64
1986-11-01,0.37,1.51,3.55,3.16,7.26,4.03,2.28,2.6,-7.41,1.26,3.78,2.8,1.12,0.55,1.93,-0.86,1.16
1986-12-01,-2.64,-2.49,-0.69,-4.53,0.26,-3.85,-0.18,-2.89,-2.42,-5.34,-3.22,-5.08,-4.77,-3.29,-6.91,-2.34,-2.71
1987-01-01,13.61,13.9,14.72,10.56,15.24,15.13,14.77,16.88,13.04,11.7,15.89,19.76,6.09,9.3,10.62,10.43,13.16
1987-02-01,4.41,12.34,-1.48,11.25,4.43,5.41,7.62,3.83,7.32,8.06,8.85,2.55,5.92,-2.14,11.44,3.9,5.0
1987-03-01,2.3,15.54,12.07,1.81,1.59,5.48,0.41,4.93,8.47,-0.96,2.65,6.04,-1.74,-1.67,2.34,-1.51,1.93
1987-04-01,-4.49,2.93,0.57,-1.71,-0.87,1.14,-2.66,-4.1,3.17,-0.6,3.9,7.36,-5.55,-4.33,-2.04,-4.95,-2.35
1987-05-01,2.17,-3.08,2.71,1.43,0.81,0.57,1.47,-1.85,4.37,-0.06,0.29,-2.89,4.05,-1.84,0.22,-0.77,1.53
1987-06-01,6.12,-1.4,5.98,6.48,4.04,4.86,4.92,6.41,3.65,3.27,0.89,2.29,5.32,3.4,6.54,4.97,5.47
1987-07-01,3.61,16.54,2.68,4.86,6.26,6.05,5.86,5.65,19.44,7.16,3.0,6.21,6.73,-1.67,6.21,1.83,5.49
1987-08-01,2.83,-2.79,2.33,0.21,6.24,2.63,4.86,2.13,-4.37,1.82,6.38,5.2,0.56,3.7,3.6,5.88,3.54
1987-09-01,-2.65,3.99,-3.78,-6.55,-1.0,-0.43,-1.67,-1.75,4.1,-1.32,-2.27,-7.51,-1.99,-2.31,-6.91,-2.36,-0.02
1987-10-01,-18.2,-32.05,-18.27,-31.44,-25.28,-27.91,-19.1,-29.24,-30.6,-28.55,-27.11,-27.12,-29.06,-6.92,-27.94,-21.27,-22.8
1987-11-01,-7.69,5.85,-10.96,-10.53,-10.96,-5.42,-9.46,-4.85,2.57,-6.51,-8.28,-6.69,-8.19,-2.51,-9.31,-7.12,-7.24
1987-12-01,7.78,6.04,6.16,9.06,8.57,14.9,5.69,8.39,10.52,7.57,11.83,8.57,7.12,0.55,7.68,3.62,8.83
1988-01-01,3.01,-7.87,8.96,6.37,-0.75,-2.65,5.54,3.77,-3.4,5.69,-1.92,7.84,8.06,9.77,6.56,8.94,3.28
1988-02-01,4.68,7.74,3.0,14.74,4.38,8.38,3.81,11.57,9.61,8.36,7.83,7.57,6.77,-1.42,10.84,3.02,5.59
1988-03-01,-0.26,8.66,2.05,2.26,-5.46,-1.96,-3.94,1.04,-3.56,1.09,-3.78,-1.31,1.73,-3.18,-1.66,-2.73,-1.82
1988-04-01,0.12,1.55,4.51,-0.26,1.06,1.79,-1.47,2.33,5.68,-0.46,2.91,3.9,-0.37,-0.29,1.9,-0.59,0.43
1988-05-01,-0.11,0.49,-0.46,-1.26,1.78,-2.17,-0.68,-1.17,-0.55,-0.56,-1.14,1.1,-0.05,3.58,-1.35,1.99,0.18
1988-06-01,2.22,1.72,-1.82,6.77,6.76,9.82,1.87,9.02,6.49,6.87,8.8,8.68,8.41,3.22,6.39,5.55,5.97
1988-07-01,1.09,-1.31,3.56,0.57,0.22,-4.1,1.72,-2.74,1.49,-1.24,-4.57,-0.7,-1.44,-0.22,-0.45,0.22,-1.36
1988-08-01,0.9,-4.51,-1.46,1.26,-4.49,-4.13,-0.96,-3.53,-4.98,-0.96,-7.67,-6.63,-3.18,-0.12,-2.55,-0.04,-3.26
1988-09-01,6.5,-2.39,-2.3,1.19,4.15,2.1,4.86,0.42,0.78,4.28,3.19,4.08,6.43,2.67,9.36,3.94,5.64
1988-10-01,12.47,-0.11,1.84,1.17,2.45,1.13,1.42,-0.03,4.31,-0.08,0.1,4.97,1.44,2.52,1.93,-0.19,0.85
1988-11-01,-0.56,0.72,-0.32,-5.28,-5.01,-2.21,-1.1,-3.17,-1.82,-0.23,-1.97,-0.1,-1.45,-0.48,-2.54,-2.61,-1.95
1988-12-01,2.5,-1.69,1.77,6.39,2.81,4.74,2.97,3.81,4.06,2.58,3.95,-0.57,1.4,1.04,1.22,-0.13,2.61
1989-01-01,5.07,2.55,6.29,5.23,6.3,10.5,6.43,6.02,11.94,3.62,6.73,9.01,7.73,2.74,6.36,6.76,7.33
1989-02-01,-1.62,5.91,-1.34,3.05,0.57,-2.18,-1.59,0.66,-3.61,-0.81,-3.84,-4.71,-0.24,-1.82,-1.82,-0.38,-1.8
1989-03-01,5.17,-2.4,3.79,4.43,0.7,2.38,5.71,1.44,-1.94,3.28,-3.89,-2.46,0.97,0.54,3.08,4.78,3.35
1989-04-01,5.75,-1.71,2.31,2.22,6.12,5.11,5.24,5.83,3.34,4.35,5.38,-0.38,4.82,3.94,5.78,3.82,7.92
1989-05-01,6.03,-4.39,2.76,3.22,1.09,0.73,4.41,3.2,1.17,3.28,4.49,1.36,2.83,5.37,5.81,4.06,5.18
1989-06-01,0.86,4.3,-1.07,-0.79,1.52,-2.7,-1.47,-0.89,-3.83,-1.25,-3.32,0.27,-2.57,3.38,-2.23,0.9,-0.24
1989-07-01,13.59,-0.74,3.9,8.49,6.92,6.91,13.99,8.99,6.64,6.71,5.66,4.41,7.5,5.8,10.01,8.11,7.96
1989-08-01,-4.09,6.98,3.43,4.51,0.54,7.57,1.25,2.89,7.96,5.12,2.03,7.74,7.93,-0.8,2.63,1.99,1.75
1989-09-01,-0.17,3.32,1.26,1.51,-2.58,-3.46,1.37,-1.63,-2.4,-4.39,-3.2,-5.82,-2.64,0.48,-2.45,2.1,1.75
1989-10-01,-1.47,-0.41,0.67,-5.59,-5.45,-5.83,1.38,-7.41,-9.21,-5.67,-4.58,-6.24,-7.26,1.0,-3.76,-4.09,-3.17
1989-11-01,3.59,10.64,3.83,-0.86,0.05,2.52,3.32,2.87,2.33,0.83,2.02,-2.21,-1.84,3.23,1.28,-0.52,1.46
1989-12-01,2.79,1.84,5.98,-1.14,-0.08,4.43,1.12,0.12,0.59,2.55,0.64,-1.7,2.39,4.79,0.77,-2.5,3.08
1990-01-01,-9.63,4.18,-4.35,-9.79,-7.12,-7.89,-7.09,-5.52,-8.79,-4.41,-2.08,-3.24,-6.09,-5.34,-6.05,-9.78,-10.83
1990-02-01,-0.29,0.1,3.13,2.08,0.54,2.69,-2.26,3.47,3.31,3.54,3.68,6.04,4.12,0.21,1.69,2.32,0.93
1990-03-01,5.55,-4.91,-0.66,5.72,4.21,1.1,4.44,5.08,6.29,4.9,3.98,3.29,5.03,-0.75,5.15,-1.6,3.53
1990-04-01,0.55,-8.74,-3.5,-1.58,-5.86,-3.72,1.77,-2.22,-7.02,0.19,-1.41,-3.94,-4.1,-5.5,-2.22,-4.19,-2.81
1990-05-01,11.59,7.88,6.17,6.63,6.49,7.13,10.38,11.15,7.37,7.94,10.06,8.24,7.56,5.43,11.61,9.29,9.88
1990-06-01,1.82,-5.63,-2.07,-2.84,-0.59,-2.29,5.14,-2.6,-1.46,1.11,-1.49,-2.29,-0.89,0.75,1.76,-1.88,-1.72
1990-07-01,0.32,9.29,8.24,-3.81,-4.75,0.36,2.95,0.52,5.66,-1.66,-3.63,-2.69,-3.14,0.89,-3.63,-4.7,-4.06
1990-08-01,-6.63,-6.94,-1.21,-15.76,-8.12,-12.78,-7.2,-11.97,-10.22,-12.55,-12.78,-13.89,-12.58,-6.62,-12.88,-10.99,-10.74
1990-09-01,-3.1,-1.45,-1.62,-14.34,-7.74,-6.73,-4.58,-8.85,-6.12,-9.65,-7.46,-10.76,-7.56,0.48,-9.37,-11.56,-3.81
1990-10-01,4.27,-16.05,-4.05,-8.48,-4.78,1.18,2.85,-6.26,-11.43,-3.08,-4.72,-2.61,-0.11,7.23,-2.97,-7.15,0.01
1990-11-01,5.17,-2.13,1.69,13.3,10.29,9.81,8.46,10.09,2.93,8.0,9.74,2.77,4.81,2.29,11.15,14.27,5.54
1990-12-01,3.95,9.47,-2.01,7.99,2.25,2.99,3.11,4.96,8.0,1.08,4.59,-1.54,4.72,0.78,2.83,5.52,3.71
1991-01-01,3.58,-8.74,-2.07,16.03,8.48,5.85,1.99,8.14,8.14,11.4,12.58,6.61,9.48,-1.37,10.65,7.25,5.27
1991-02-01,11.44,8.5,8.61,14.59,7.95,5.89,8.93,11.79,6.66,5.95,6.47,10.8,3.05,4.84,8.21,10.83,5.62
1991-03-01,5.84,-1.6,1.38,4.26,4.49,0.12,4.23,0.16,0.51,4.01,-0.46,-1.2,0.01,1.71,9.68,5.79,2.95
1991-04-01,-1.64,0.72,2.62,1.83,-1.33,3.46,-0.76,0.46,-0.14,0.48,-2.36,-2.15,1.37,-0.04,1.97,1.78,0.26
1991-05-01,3.27,1.51,-1.26,3.1,5.49,9.97,4.08,8.64,4.23,6.42,5.8,15.7,6.69,0.15,7.74,4.66,3.11
1991-06-01,-4.58,7.37,-3.8,-1.57,-5.81,-3.73,-4.47,-4.64,-4.72,-0.15,-7.72,-3.49,-4.02,-2.37,-4.9,-5.32,-3.89
1991-07-01,6.59,-2.12,5.12,5.8,3.6,5.31,7.72,5.28,4.46,4.16,2.96,-1.2,5.23,3.99,5.07,5.75,3.39
